산출물	항목	값
cmake --graphviz	노드 수 (전체)	70
cmake --graphviz	노드 수 (서드파티 제외)	44
cmake --graphviz	간선 수 (전체)	246
cmake --graphviz	간선 수 (양끝 1st-party)	204
cmake --graphviz	간선 수 (1st -> 3rd)	34
cmake --graphviz	간선 수 (3rd -> 3rd)	8
cmake --graphviz	자기참조 간선	1
cmake --graphviz	모듈(CMake 타겟) 수	70
cmake --graphviz	부속 .dot 파일 수	119
clang-uml	노드 수 (전체)	203
clang-uml	노드 수 (SJH 네임스페이스만)	102
clang-uml	노드 수 (std)	83
clang-uml	노드 수 (glm)	7
clang-uml	노드 수 (nlohmann)	5
clang-uml	노드 수 (Effekseer)	2
clang-uml	노드 수 (FMOD)	2
clang-uml	노드 수 (무네임스페이스)	2
clang-uml	노드 수 (MyApp 네임스페이스)	0
clang-uml	간선 수 (전체)	411
clang-uml	간선 수 (양끝 1st-party)	147
clang-uml	간선 dependency (전체/1st)	206/68
clang-uml	간선 aggregation (전체/1st)	140/17
clang-uml	간선 association (전체/1st)	26/26
clang-uml	간선 extension (전체/1st)	21/21
clang-uml	간선 instantiation (전체/1st)	11/8
clang-uml	간선 containment (전체/1st)	5/5
clang-uml	간선 friendship (전체/1st)	2/2
clang-uml	간선 composition	0
clang-uml	가장 노드 많은 모듈	src/reflect (37)
compile_commands.json	항목 수	107
저장소	추적 .cpp/.cc/.cxx	127
저장소	추적 .h/.hpp	329
저장소	src/ 하위 모듈 디렉토리	19

# --- 2026-08-27 apps/ 재수집 (full_class_all.json). 위 블록은 구본 full_class.json 기준 ---
clang-uml (재수집)	산출 파일	full_class_all.json
clang-uml (재수집)	노드 수 (전체)	318  (구본 203)
clang-uml (재수집)	간선 수 (전체)	671  (구본 411)
clang-uml (재수집)	노드 수 (SJH)	111
clang-uml (재수집)	노드 수 (std)	107
clang-uml (재수집)	노드 수 (TopdownShooter)	74
clang-uml (재수집)	노드 수 (glm)	7
clang-uml (재수집)	노드 수 (FMOD)	6
clang-uml (재수집)	노드 수 (nlohmann)	5
clang-uml (재수집)	노드 수 ((none))	4
clang-uml (재수집)	노드 수 (Effekseer)	3
clang-uml (재수집)	노드 수 (tweeny)	1
clang-uml (재수집)	간선 dependency	282
clang-uml (재수집)	간선 aggregation	215
clang-uml (재수집)	간선 association	96
clang-uml (재수집)	간선 extension	52
clang-uml (재수집)	간선 instantiation	16
clang-uml (재수집)	간선 containment	7
clang-uml (재수집)	간선 friendship	3
clang-uml (재수집)	간선 composition	0
