층	외부노드이름	접촉횟수	접힌_원본_개수	접힌_원본
모듈	spdlog	13	2	spdlog; spdlog::spdlog
모듈	(SDK) macOS	5	5	-framework Cocoa; -framework CoreFoundation; -framework CoreVideo; -framework IOKit; /Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX.sdk/System/Library/Frameworks/OpenGL.framework
모듈	assimp	2	2	assimp; assimp::assimp
모듈	fmod	2	2	fmod; fmodstudio
모듈	glm	2	2	glm::glm; glm::glm-header-only
모듈	nlohmann_json	2	1	nlohmann_json::nlohmann_json
모듈	Effekseer	1	2	Effekseer; EffekseerRendererGL
모듈	boost-describe	1	1	Boost::describe
모듈	boost-pfr	1	1	Boost::pfr
모듈	box2d	1	1	box2d::box2d
모듈	glfw3	1	1	glfw3
모듈	imgui	1	1	imgui::imgui
모듈	sb7	1	1	sb7
모듈	tweeny	1	1	tweeny
모듈	Threads   <- R1 로 제거 (depth 1 이상)	0	1	Threads::Threads
모듈	boost-mp11   <- R1 로 제거 (depth 1 이상)	0	1	Boost::mp11
모듈	fmt   <- R1 로 제거 (depth 1 이상)	0	1	fmt::fmt
클래스	(STL) std	122	82	std::array<GLfloat,4>; std::array<GLint,4>; std::array<GLuint,16>; std::array<SJH::Diagnostics::VertexAttribInfo,16>; std::array<bool,4>; std::basic_string_view<char>  ...외 76종
클래스	glm	48	7	glm::mat<4,4,float,defaultp>; glm::vec<2,float,defaultp>; glm::vec<2,float,glm::packed_highp>; glm::vec<3,float,defaultp>; glm::vec<3,float,glm::packed_highp>; glm::vec<4,float,defaultp>  ...외 1종
클래스	Effekseer	2	2	Effekseer::RefPtr<Effekseer::Effect>; Effekseer::RefPtr<Effekseer::Manager>
클래스	(기타) GLFWwindow	0	1	GLFWwindow
클래스	(기타) aiMesh	0	1	aiMesh
클래스	fmod	0	2	FMOD::Sound; FMOD::System
클래스	nlohmann-json	0	5	nlohmann::adl_serializer; nlohmann::adl_serializer<glm::vec<2,float,glm::packed_highp>,void>; nlohmann::adl_serializer<glm::vec<3,float,glm::packed_highp>,void>; nlohmann::adl_serializer<glm::vec<4,float,glm::packed_highp>,void>; nlohmann::basic_json

# --- 2026-08-27 apps/ 재수집 — 클래스 층 R1 외부 접촉 (full_class_all.json) ---
# R1 정의: source 가 SJH/TopdownShooter 네임스페이스, destination 이 그 밖인 간선을 1회 접촉으로 셈
층	외부노드이름	접촉횟수	접힌_원본_개수	접힌_원본
클래스(재수집)	std	168	99	std::array<GLfloat,4>; std::array<GLint,4>; std::array<GLuint,16>; std::array<SJH::Diagnostics::VertexAttribInfo,16>; std::array<bool,4>; std::basic_string_view<char>  ...외 93종
클래스(재수집)	glm	69	4	glm::mat<4,4,float,defaultp>; glm::vec<2,float,defaultp>; glm::vec<3,float,defaultp>; glm::vec<4,float,defaultp>
클래스(재수집)	FMOD	5	4	FMOD::Studio::EventDescription; FMOD::Studio::EventInstance; FMOD::Studio::System; FMOD::System
클래스(재수집)	Effekseer	4	3	Effekseer::RefPtr<Effekseer::Effect>; Effekseer::RefPtr<Effekseer::Manager>; Effekseer::RefPtr<EffekseerRendererGL::Renderer>
클래스(재수집)	tweeny	1	1	tweeny::tween<T>
