# C-9 로 접은 외부 노드 (StickRushGame, commit c0a610f) — R5+R7 적용 후
# 적용 순서 R5 -> R7 -> R2 -> R1 -> R4 -> R3 -> R6.  노드 12개 / 접촉 합 81건.
# R5 는 노드 개수를 안 바꿨다 (13->13). netstandard 접촉 317->274.
# R7 을 더 적용하면 netstandard 접촉이 274->9 로 준다. 노드 수는 12 로 그대로.
외부노드	접촉_R5R7후	접촉_R5전	접힌_어셈블리	종류
(BCL) netstandard	9	317	netstandard	표준라이브러리
(엔진) UnityEngine.CoreModule	34	34	UnityEngine.CoreModule	엔진(패키지없음)
com.unity.ugui	12	12	UnityEngine.UI	패키지
com.cathei.bakingsheet	12	12	BakingSheet;BakingSheet.Google	패키지
(엔진 에디터) UnityEditor	4	4	UnityEditor.CoreModule	엔진(패키지없음)
com.unity.modules.ui	3	3	UnityEngine.UIModule	패키지(내장모듈)
(벤더링) DOTween	2	2	DOTween	Assets 벤더링
com.unity.inputsystem	1	1	Unity.InputSystem	패키지
com.unity.addressables	1	1	Unity.ResourceManager	패키지
com.unity.modules.audio	1	1	UnityEngine.AudioModule	패키지(내장모듈)
com.unity.modules.animation	1	1	UnityEngine.AnimationModule	패키지(내장모듈)
com.unity.modules.imgui	1	1	UnityEngine.IMGUIModule	패키지(내장모듈)
#
# (BCL) netstandard 접촉 — R7 적용 후 9건 (2026-08-27 사용자 확정: (c) 원시까지 제외)
#   (a) R5 적용 후 전체                          274
#   (b) 암묵적 기반(object/Enum/ValueType) 제외   145   <- D절 간선 집계와 같은 기준
#   (c) 원시 타입(string/int/float/bool)까지 제외    9   <- 실질 접촉
# (c) 채택됨 = R7. netstandard 는 노드로 남되 지배적이지 않다.
# 남는 9건: System.Action 3 / System.Type 2 / System.Exception 2 / IReadOnlyDictionary 1 / System.Random 1
